MITT,AG MTG INVEST TRUST INC COM,3.60,+.85,+30.91%,"13,372,876",3.85,3.95,4.01,3.33,2.39,118 M,206.51%
SPCE,VIRGIN GALACTIC HLDGS INC COM,15.77,-.09,-0.57%,"13,186,290",15.93,16.04,16.27,15.66,-1.17,"3,318 M",107.58%
SM,SM ENERGY COMPANY COM,5.49,+1.29,+30.71%,"12,954,629",5.50,5.55,5.69,4.59,-3.72,620 M,143.39%
IBN,ICICI BANK LIMITED ADR SPONSORED,9.77,+.46,+4.94%,"12,801,568",9.60,9.80,9.88,9.61,.4024,"31,616 M",74.41%
IVZ,INVESCO LTD COM,10.41,+.85,+8.89%,"12,693,957",10.30,10.40,10.97,9.95,1.02,"4,777 M",66.60%
CVE,CENOVUS ENERGY INC COM,5.24,+.42,+8.71%,"12,533,885",5.24,5.36,5.315,5.11,.1731,"6,439 M",77.65%
TME,TENCENT MUSIC ENTERTAINMENT GR ADR,12.26,-.29,-2.31%,"12,526,330",12.10,12.80,12.63,12.08,.33,"20,567 M",42.10%
PTEN,PATTERSON UTI ENERGY INC COM,5.79,+.62,+11.99%,"12,425,864",5.79,5.86,6.14,5.45,-4.24,"1,080 M",105.33%
TELL,TELLURIAN INC COM,1.205,+.205,+20.50%,"12,199,751",1.260,1.280,1.260,1.030,-.71,323 M,162.33%
NRZ,NEW RESIDENTIAL INVT CORP COM NEW,8.44,+.18,+2.18%,"12,128,182",8.58,8.69,9.4187,8.37,-2.89,"3,508 M",83.99%
SSL,SASOL ADR SPONSORED,9.05,+1.05,+13.13%,"11,985,798",9.06,9.28,9.505,8.435,-.7354,"5,722 M",141.05%
ASNA,ASCENA RETAIL GROUP INC COM,2.755,+.835,+43.49%,"11,862,987",2.120,2.150,3.680,2.000,-66.94,28 M,240.50%
CTRM,CASTOR MARITIME INC COM,.7675,+.0345,+4.71%,"11,859,145",.7000,.7100,.9050,.7218,-.197,7.6 M,<empty>
AEO,AMERICAN EAGLE OUTFITTERS INC COM,12.98,+.65,+5.27%,"11,749,959",12.70,13.20,13.68,12.70,-.65,"2,148 M",76.36%
GGB,GERDAU SA ADR SPONSORED,3.10,+.07,+2.31%,"11,527,317",3.14,3.24,3.24,3.06,.1299,"5,270 M",71.58%
KTOV,KITOV PHARMA LTD ADR SPONSORED,.4980,+.025,+5.29%,"11,510,132",.5030,.5050,.5205,.4600,-.3021,52 M,<empty>
WTI,W & T OFFSHORE INC COM,3.30,+.48,+17.02%,"11,496,071",3.23,3.33,3.325,2.83,.52,468 M,103.28%
AYTU,AYTU BIOSCIENCE INC COM,1.48,+.02,+1.37%,"11,293,898",1.47,1.48,1.50,1.40,-1.76,178 M,<empty>
DLPN,DOLPHIN ENTERTAINMENT INC COM,.9800,-.66,-40.24%,"11,214,061",1.0300,1.0500,1.1300,.9100,-.2,20 M,<empty>
TUP,TUPPERWARE BRANDS CORPORATION COM,6.49,+1.53,+30.85%,"11,176,020",6.30,6.49,6.94,5.295,-.67,318 M,131.17%
TTOO,T2 BIOSYSTEMS INC COM,1.31,+.13,+11.02%,"11,101,512",1.28,1.29,1.34,1.15,-1.18,156 M,++
LB,LIMITED BRANDS INC COM,18.68,+.83,+4.65%,"10,920,891",18.70,19.91,19.875,18.52,-2.55,"5,190 M",78.85%
CRC,CALIFORNIA RESOURCES CORP COM,2.01,+.51,+34.00%,"10,912,508",2.11,2.19,2.05,1.62,-.57,99 M,323.04%
CIM,CHIMERA INVESTMENT CORPORATION COM NEW,10.62,+.50,+4.94%,"10,894,227",10.62,10.89,11.82,10.49,-.81,"2,041 M",63.34%
UA,UNDER ARMOUR INC COM CL C,9.84,+.54,+5.81%,"10,865,473",9.81,9.98,10.30,9.76,-1.15,"4,468 M",81.31%
TLRY,TILRAY INC COM,9.48,-.61,-6.05%,"10,837,276",9.52,9.54,10.35,9.08,-4.62,"1,184 M",138.06%
CX,CEMEX S.A.B. DE C.V. ADR SPONSORED,3.02,+.16,+5.59%,"10,697,655",3.00,3.07,3.09,2.91,.093,"4,562 M",73.32%
