THM,1.1300,+.04,"1,589,772"
GPMT,4.92,-.19,"1,577,660"
FRSX,.8399,-.0401,"1,572,688"
SNCA,.92,-.035,"1,571,097"
VHC,6.65,+.20,"1,563,471"
EQX,9.22,+.17,"1,551,992"
CHAP,.4986,+.0086,"1,547,953"
CALA,5.82,+.01,"1,547,823"
EURN,10.12,-.02,"1,543,360"
ELY,15.32,+.08,"1,541,288"
PVAC,8.78,-.19,"1,534,921"
MAXR,15.07,+.29,"1,532,260"
OGZPY,5.65,+.175,"1,522,854"
FHB,17.25,-.17,"1,511,495"
CJJD,2.57,+.05,"1,499,205"
ZEST,2.70,+.43,"1,497,672"
TRTX,7.41,-.10,"1,494,213"
OTLK,1.0200,+.01,"1,484,691"
GEN,.8621,-.0879,"1,479,888"
LPCN,.9136,-.0114,"1,473,080"
CALX,14.10,-.15,"1,466,505"
SFET,1.30,-.05,"1,456,885"
LFC,9.47,+.12,"1,450,084"
EMAN,.5254,-.0112,"1,439,945"
DHY,1.97,+.02,"1,425,224"
STKL,4.69,+.50,"1,416,838"
SMHI,1.55,+.03,"1,416,006"
TOUR,.9989,-.1011,"1,414,016"
DHF,2.60,+.04,"1,410,112"
ASM,.6900,+.056,"1,399,080"
DENN,10.845,-.425,"1,397,424"
SEM,16.14,-.26,"1,393,730"
OEC,11.06,-.27,"1,385,978"
TAST,4.29,+.01,"1,372,261"
ZSAN,.9800,-.02,"1,363,434"
AVAL,4.39,0,"1,356,774"
CLI,15.21,-.47,"1,352,335"
STNG,17.74,-.26,"1,349,717"
CHEK,.5260,-.0067,"1,326,351"
VIVO,15.46,+1.28,"1,324,284"
SGBX,2.53,-.09,"1,315,960"
SURF,5.11,+.22,"1,299,118"
CSIQ,18.80,+.66,"1,292,127"
SCYX,.7542,-.0185,"1,290,220"
BHR,3.40,-.25,"1,278,713"
CLUB,.83,-.17,"1,277,559"
CVSI,.8850,+.00495,"1,273,371"
AFMD,3.29,+.17,"1,270,535"
SONM,.83,+.0049,"1,269,198"
CHEF,14.80,-.20,"1,262,713"
SGSVF,1.41,+.10,"1,259,656"
APTS,6.99,-.44,"1,259,581"
HT,5.04,-.32,"1,254,632"
ARCO,3.88,+.06,"1,254,540"
BKE,14.08,-.64,"1,229,719"
CRLBF,4.92,+.0375,"1,227,997"
ZYNE,5.26,-.13,"1,224,899"
VNOM,10.49,-.16,"1,221,505"
